"ID_CURSO","TITULO","TIPO_IMPARTICION"
"51107769827971200869644386571816","Curso Mantenimiento Industrial","2"
"88729960389238009200535074035282","Curso de Electroneumática","1"
"1200239238823","Master en Energías Renovables","1"
"292221983920847293888273","Curso Automatización Industrial","3"
"90807769827971200869644386571816","Curso Instalador Electricista","1"
"100008404","FP en Electricidad","3"
"992032575299238","Máster en Automatización Industrial y Robótica","2"
"9982482048238532307730412709","Curso Instalador Aire Acondicionado","3"
"99999774895833190441395259606605","Curso de Robótica","1"
"87229304425928490","Curso de Energía Eólica","2"
